date_utc,current_count,new_issues,closed_issues,moved_in,moved_out
10-24-22,53,0,0,0,0
10-31-22,50,4,3,6,3
11-07-22,51,3,0,0,1
11-14-22,53,3,1,2,2
11-21-22,61,7,0,1,0
11-28-22,60,2,1,0,2
12-05-22,60,3,3,0,0
12-12-22,68,8,1,1,0
12-19-22,70,7,3,1,3
12-26-22,75,7,1,2,3
01-02-23,76,1,0,1,1
01-09-23,61,4,6,3,16
01-16-23,60,7,6,1,3
01-24-23,56,4,6,0,2
01-31-23,53,5,5,1,4
02-06-23,52,2,1,0,3
02-13-23,49,2,3,0,3
02-21-23,55,6,1,1,1
02-27-23,52,3,4,1,4
03-06-23,50,6,6,0,3
03-13-23,49,5,3,0,4
03-20-23,53,8,3,0,2
03-27-23,53,6,1,1,7
04-03-23,55,5,1,0,4
04-10-23,56,7,7,1,2
04-17-23,56,5,2,0,5
04-24-23,53,3,5,0,3
05-01-23,50,4,7,0,2
05-08-23,51,3,3,0,1
05-15-23,50,5,3,0,4
05-22-23,44,4,10,1,1
05-29-23,48,5,0,1,2
06-05-23,51,6,1,0,2
