date_utc,current_count,new_issues,closed_issues,moved_in,moved_out
07-15-24,84,84,0,0,0
07-22-24,65,2,10,0,11
07-23-24,25,0,4,0,36
07-23-24,19,0,0,0,6
07-29-24,16,1,4,0,0
08-05-24,14,1,1,1,4
08-12-24,4,1,8,0,3
08-19-24,0,0,1,0,3
09-02-24,1,1,0,0,0
09-09-24,1,0,0,0,0
09-16-24,1,0,0,0,0
09-23-24,1,0,0,0,0
09-30-24,0,0,1,0,0
10-07-24,0,0,0,0,0
10-14-24,0,0,0,0,0
10-21-24,0,0,0,0,0
10-28-24,0,0,0,0,0
11-04-24,0,0,0,0,0
11-11-24,0,0,0,0,0
11-18-24,0,0,0,0,0
11-25-24,0,0,0,0,0
12-02-24,0,0,0,0,0
12-09-24,0,0,0,0,0
