date_utc,current_count,new_issues,closed_issues,moved_in,moved_out
10-24-22,53,0,0,0,0
10-31-22,50,4,3,6,3
11-07-22,51,3,0,0,1
11-14-22,53,3,1,2,2
11-21-22,61,7,0,1,0
11-28-22,60,2,1,0,2
12-05-22,60,3,3,0,0
12-12-22,68,8,1,1,0
12-19-22,70,7,3,1,3
12-26-22,75,7,1,2,3
01-02-23,76,1,0,1,1
01-09-23,61,4,6,3,16
01-16-23,60,7,6,1,3
01-24-23,56,4,6,0,2
01-31-23,53,5,5,1,4
02-06-23,52,2,1,0,3
02-13-23,49,2,3,0,3
02-21-23,55,6,1,1,1
02-27-23,52,3,4,1,4
03-06-23,50,6,6,0,3
03-13-23,49,5,3,0,4
03-20-23,53,8,3,0,2
03-27-23,53,6,1,1,7
04-03-23,55,5,1,0,4
04-10-23,56,7,7,1,2
04-17-23,56,5,2,0,5
04-24-23,53,3,5,0,3
05-01-23,50,4,7,0,2
05-08-23,51,3,3,0,1
05-15-23,50,5,3,0,4
05-22-23,44,4,10,1,1
05-29-23,48,5,0,1,2
06-05-23,51,6,1,0,2
06-12-23,57,9,2,0,1
06-19-23,51,3,7,1,4
06-26-23,57,9,2,1,2
07-03-23,54,3,6,0,0
07-10-23,57,5,1,0,1
07-17-23,55,2,4,1,1
07-24-23,53,3,4,0,1
07-31-23,56,6,2,2,3
08-07-23,56,3,1,0,2
08-14-23,63,7,2,2,0
08-21-23,70,11,5,1,0
08-28-23,65,4,8,0,2
09-04-23,67,3,1,0,0
09-11-23,72,6,1,0,0
09-18-23,73,4,4,1,0
09-25-23,71,4,6,0,0
10-02-23,73,5,1,0,3
10-09-23,72,2,1,0,2
10-16-23,66,3,8,0,1
10-23-23,68,3,0,1,2
10-30-23,64,3,4,1,4
11-06-23,60,1,5,0,0
11-13-23,62,3,0,0,1
11-20-23,59,4,1,0,2
11-27-23,61,2,1,1,0
12-04-23,62,2,1,0,0
12-11-23,63,2,1,0,0
12-18-23,63,2,2,0,0
12-25-23,64,2,0,0,1
01-01-24,66,3,1,0,0
01-08-24,63,3,4,0,2
01-15-24,61,4,4,0,2
01-22-24,60,3,4,0,0
01-29-24,60,3,2,0,1
02-05-24,66,8,2,0,0
02-12-24,58,1,7,1,3
02-19-24,57,4,4,0,1
02-26-24,127,72,3,1,1
03-04-24,123,2,5,0,1
03-11-24,110,10,6,1,18
03-18-24,98,6,3,1,16
03-25-24,100,6,2,0,2
04-01-24,97,1,3,0,1
04-08-24,96,0,2,1,0
04-15-24,89,4,7,0,4
04-22-24,94,6,1,0,0
04-29-24,83,3,2,3,15
05-06-24,84,6,1,0,4
05-13-24,88,7,0,0,3
05-20-24,89,4,3,1,1
05-27-24,87,5,7,2,2
06-03-24,88,3,2,0,0
06-10-24,86,6,7,0,1
06-17-24,85,5,4,0,2
06-24-24,79,3,7,1,4
07-01-24,83,5,1,1,2
07-08-24,88,9,1,0,3
07-15-24,83,3,4,1,5
07-22-24,81,8,8,0,2
07-29-24,74,7,12,0,2
08-05-24,77,7,2,2,6
08-12-24,76,8,9,0,0
08-19-24,79,7,4,1,1
08-27-24,78,3,4,1,1
09-02-24,81,4,0,0,1
09-09-24,82,5,5,1,0
09-16-24,75,1,6,0,2
09-23-24,74,8,5,0,4
09-30-24,64,4,12,0,2
10-07-24,61,3,3,0,3
10-14-24,54,1,4,1,5
10-21-24,56,4,2,0,0
10-28-24,57,6,0,0,5
11-04-24,59,4,0,0,2
